"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Swag Labs Automation","0","Home Page Products","2","0","Add and remove items","0"
"0","Swag Labs Automation","0","Add and remove items from shopping cart","2","0","Add and remove items","0"
"0","Swag Labs Automation","0","Home Page Products","2","0","Price list homepage","0"
"0","Swag Labs Automation","0","Price sorting in ascending order","1","0","Price list homepage","0"
"0","Swag Labs Automation","1","Sign In Page Products","3","0","User login","0"
"0","Swag Labs Automation","1","Authentication","3","0","User login","0"
"0","Swag Labs Automation","0","Home Page Products","2","0","Homepage Product List","0"
"0","Swag Labs Automation","0","Descending Product Name Order","1","0","Homepage Product List","0"
"0","Swag Labs Automation","0","Ascending Product Name Order","1","0","Homepage Product List","0"
"0","Swag Labs Automation","0","Price sorting in descending order","1","0","Price list homepage","0"
