"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that it allows adding 3 products and removing 2 from the cart; 3 are displayed, then 1","2577","Add and remove items from shopping cart validation","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_09_shouldKeepOnlyOneProductInCartAfterAddingThreeAndRemovingTwo"
"Verifies that prices are displayed in ascending order and that the name and description match","1866","Price sorting in ascending order","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_06_givenCurrentPriceList_whenComparedWithExpectedList_thenPricesAreInAscendingOrder"
"Verify that user can log in successfully with valid credentials","1677","Login with valid credentials","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.SignInTest","com.camilocuapio.automation.swaglabs.tests.SignInTest","TC_01_givenValidCredentials_whenUserLogsIn_thenAccessIsGranted"
"Verifies that all products can be added and removed; the cart counter is 6 and then 0","2257","Add and remove items from shopping cart validation","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_08_givenUserOnProductsPage_whenUserAddsAndRemovesAllProducts_thenCartCountIsSixAndThenZero"
"Verify that the user cannot log in with an incorrect password and display an error message","1579","Incorrect password login","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.SignInTest","com.camilocuapio.automation.swaglabs.tests.SignInTest","TC_02_givenIncorrectPassword_whenUserAttemptsToLogIn_thenErrorMessageIsDisplayed"
"Verifies that product names are displayed in descending order and identifies the corresponding price and description","2834","Product Order Validation","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_05_givenCurrentProductList_whenComparedWithExpectedList_thenProductsAreInZToAOrder"
"Verify that when an incorrect password is entered, the X buttons are displayed for username, password, and error message","1508","Display of X buttons","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.SignInTest","com.camilocuapio.automation.swaglabs.tests.SignInTest","TC_03_givenCredentialsWithIncorrectPassword_whenUserAttemptsToLogIn_thenErrorIconsAreDisplayed"
"Verifies that product names are displayed in ascending order and identifies the corresponding price and description","1943","Product Order Validation","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_04_givenUserIsOnProductsPage_whenProductListIsDisplayed_thenAllProductsAreVisible"
"Verifies that prices are displayed in descending order and that the name and description match","1743","Price sorting in descending order","","2026-03-24","passed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.HomeTest","com.camilocuapio.automation.swaglabs.tests.HomeTest","TC_07_givenCurrentPriceList_whenComparedWithExpectedList_thenPricesAreInDescendingOrder"
"Verify that user can log in successfully with valid credentials","1687","Login with valid credentials ERRORFORCAPTURE","","2026-03-24","failed","2026-03-24","","com.camilocuapio.automation.swaglabs.tests.SignInTest","com.camilocuapio.automation.swaglabs.tests.SignInTest","TC_ERRORFORCAPTURE_givenValidCredentials_whenUserLogsIn_thenAccessIsGranted"
